name,sector,size,specialty,contact
NDRF Battalion 04,Patna,45,Flood Rescue,+91-99999-11104
NDRF Battalion 10,Vijayawada,50,Cyclone Rescue,+91-99999-11110
NDRF Battalion 01,Guwahati,40,Flood & Landslide,+91-99999-11101
NDRF Battalion 07,Jammu,35,Cloudburst & Snow,+91-99999-11107
Army Command Unit,Leh,60,Landslide & Heavy Snow,+91-99999-22201
Navy Coastal Rescue,Visakhapatnam,40,Marine & Cyclone,+91-99999-33301
SDRF Team West,Mumbai,30,Urban Flood Rescue,+91-99999-44401
SDRF Team East,Kolkata,35,Cyclone Evacuation,+91-99999-44402
NDRF Battalion 08,New Delhi,45,Earthquake Rescue,+91-99999-11108
SDRF Hill Command,Dehradun,25,Mountain Search & Rescue,+91-99999-55501
SDRF South division,Bengaluru,30,Floods and Logistics,+91-99999-55502
